"STATISTIC Label","Year","Age Group","Sex","Inward or Outward Flow","UNIT","VALUE"
"Estimated Migration (Persons in April)","1996","All ages","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1996","0 - 14 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1996","0 - 14 years","Both sexes","Emigrants: All destinations","Thousand","0.9"
"Estimated Migration (Persons in April)","1996","0 - 14 years","Both sexes","Immigrants: All origins","Thousand","6.6"
"Estimated Migration (Persons in April)","1996","0 - 14 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1996","0 - 14 years","Male","Emigrants: All destinations","Thousand","0.4"
"Estimated Migration (Persons in April)","1996","0 - 14 years","Male","Immigrants: All origins","Thousand","3.1"
"Estimated Migration (Persons in April)","1996","0 - 14 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1996","0 - 14 years","Female","Emigrants: All destinations","Thousand","0.6"
"Estimated Migration (Persons in April)","1996","0 - 14 years","Female","Immigrants: All origins","Thousand","3.6"
"Estimated Migration (Persons in April)","1996","15 - 24 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1996","15 - 24 years","Both sexes","Emigrants: All destinations","Thousand","21.4"
"Estimated Migration (Persons in April)","1996","15 - 24 years","Both sexes","Immigrants: All origins","Thousand","10.9"
"Estimated Migration (Persons in April)","1996","15 - 24 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1996","15 - 24 years","Male","Emigrants: All destinations","Thousand","9.8"
"Estimated Migration (Persons in April)","1996","15 - 24 years","Male","Immigrants: All origins","Thousand","4.2"
"Estimated Migration (Persons in April)","1996","15 - 24 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1996","15 - 24 years","Female","Emigrants: All destinations","Thousand","11.7"
"Estimated Migration (Persons in April)","1996","15 - 24 years","Female","Immigrants: All origins","Thousand","6.7"
"Estimated Migration (Persons in April)","1996","25 - 44 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1996","25 - 44 years","Both sexes","Emigrants: All destinations","Thousand","8.1"
"Estimated Migration (Persons in April)","1996","25 - 44 years","Both sexes","Immigrants: All origins","Thousand","16.9"
"Estimated Migration (Persons in April)","1996","25 - 44 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1996","25 - 44 years","Male","Emigrants: All destinations","Thousand","5.1"
"Estimated Migration (Persons in April)","1996","25 - 44 years","Male","Immigrants: All origins","Thousand","8.7"
"Estimated Migration (Persons in April)","1996","25 - 44 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1996","25 - 44 years","Female","Emigrants: All destinations","Thousand","3"
"Estimated Migration (Persons in April)","1996","25 - 44 years","Female","Immigrants: All origins","Thousand","8.1"
"Estimated Migration (Persons in April)","1996","45 - 64 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1996","45 - 64 years","Both sexes","Emigrants: All destinations","Thousand","0.7"
"Estimated Migration (Persons in April)","1996","45 - 64 years","Both sexes","Immigrants: All origins","Thousand","3.6"
"Estimated Migration (Persons in April)","1996","45 - 64 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1996","45 - 64 years","Male","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1996","45 - 64 years","Male","Immigrants: All origins","Thousand","2.2"
"Estimated Migration (Persons in April)","1996","45 - 64 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1996","45 - 64 years","Female","Emigrants: All destinations","Thousand","0.7"
"Estimated Migration (Persons in April)","1996","45 - 64 years","Female","Immigrants: All origins","Thousand","1.3"
"Estimated Migration (Persons in April)","1996","65 years and over","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1996","65 years and over","Both sexes","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1996","65 years and over","Both sexes","Immigrants: All origins","Thousand","1.2"
"Estimated Migration (Persons in April)","1996","65 years and over","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1996","65 years and over","Male","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1996","65 years and over","Male","Immigrants: All origins","Thousand","0.6"
"Estimated Migration (Persons in April)","1996","65 years and over","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1996","65 years and over","Female","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1996","65 years and over","Female","Immigrants: All origins","Thousand","0.6"
"Estimated Migration (Persons in April)","1997","All ages","Both sexes","Net migration","Thousand","19.2"
"Estimated Migration (Persons in April)","1997","All ages","Both sexes","Emigrants: All destinations","Thousand","25.3"
"Estimated Migration (Persons in April)","1997","All ages","Both sexes","Immigrants: All origins","Thousand","44.5"
"Estimated Migration (Persons in April)","1997","All ages","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","All ages","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1997","All ages","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1997","All ages","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","All ages","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1997","All ages","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1997","0 - 14 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","0 - 14 years","Both sexes","Emigrants: All destinations","Thousand","0.3"
"Estimated Migration (Persons in April)","1997","0 - 14 years","Both sexes","Immigrants: All origins","Thousand","6.4"
"Estimated Migration (Persons in April)","1997","0 - 14 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","0 - 14 years","Male","Emigrants: All destinations","Thousand","0.1"
"Estimated Migration (Persons in April)","1997","0 - 14 years","Male","Immigrants: All origins","Thousand","2.9"
"Estimated Migration (Persons in April)","1997","0 - 14 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","0 - 14 years","Female","Emigrants: All destinations","Thousand","0.2"
"Estimated Migration (Persons in April)","1997","0 - 14 years","Female","Immigrants: All origins","Thousand","3.5"
"Estimated Migration (Persons in April)","1997","15 - 24 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","15 - 24 years","Both sexes","Emigrants: All destinations","Thousand","19.4"
"Estimated Migration (Persons in April)","1997","15 - 24 years","Both sexes","Immigrants: All origins","Thousand","13.8"
"Estimated Migration (Persons in April)","1997","15 - 24 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","15 - 24 years","Male","Emigrants: All destinations","Thousand","9"
"Estimated Migration (Persons in April)","1997","15 - 24 years","Male","Immigrants: All origins","Thousand","5.9"
"Estimated Migration (Persons in April)","1997","15 - 24 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","15 - 24 years","Female","Emigrants: All destinations","Thousand","10.4"
"Estimated Migration (Persons in April)","1997","15 - 24 years","Female","Immigrants: All origins","Thousand","7.8"
"Estimated Migration (Persons in April)","1997","25 - 44 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","25 - 44 years","Both sexes","Emigrants: All destinations","Thousand","5.6"
"Estimated Migration (Persons in April)","1997","25 - 44 years","Both sexes","Immigrants: All origins","Thousand","18.2"
"Estimated Migration (Persons in April)","1997","25 - 44 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","25 - 44 years","Male","Emigrants: All destinations","Thousand","3.4"
"Estimated Migration (Persons in April)","1997","25 - 44 years","Male","Immigrants: All origins","Thousand","9.6"
"Estimated Migration (Persons in April)","1997","25 - 44 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","25 - 44 years","Female","Emigrants: All destinations","Thousand","2.2"
"Estimated Migration (Persons in April)","1997","25 - 44 years","Female","Immigrants: All origins","Thousand","8.6"
"Estimated Migration (Persons in April)","1997","45 - 64 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","45 - 64 years","Both sexes","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1997","45 - 64 years","Both sexes","Immigrants: All origins","Thousand","4.7"
"Estimated Migration (Persons in April)","1997","45 - 64 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","45 - 64 years","Male","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1997","45 - 64 years","Male","Immigrants: All origins","Thousand","2.7"
"Estimated Migration (Persons in April)","1997","45 - 64 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","45 - 64 years","Female","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1997","45 - 64 years","Female","Immigrants: All origins","Thousand","2"
"Estimated Migration (Persons in April)","1997","65 years and over","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","65 years and over","Both sexes","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1997","65 years and over","Both sexes","Immigrants: All origins","Thousand","1.5"
"Estimated Migration (Persons in April)","1997","65 years and over","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","65 years and over","Male","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1997","65 years and over","Male","Immigrants: All origins","Thousand","0.8"
"Estimated Migration (Persons in April)","1997","65 years and over","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","65 years and over","Female","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1997","65 years and over","Female","Immigrants: All origins","Thousand","0.7"
"Estimated Migration (Persons in April)","1998","All ages","Both sexes","Net migration","Thousand","17.4"
"Estimated Migration (Persons in April)","1998","All ages","Both sexes","Emigrants: All destinations","Thousand","28.6"
"Estimated Migration (Persons in April)","1998","All ages","Both sexes","Immigrants: All origins","Thousand","46"
"Estimated Migration (Persons in April)","1998","All ages","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","All ages","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1998","All ages","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1998","All ages","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","All ages","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1998","All ages","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1998","0 - 14 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","0 - 14 years","Both sexes","Emigrants: All destinations","Thousand","1.6"
"Estimated Migration (Persons in April)","1998","0 - 14 years","Both sexes","Immigrants: All origins","Thousand","7.5"
"Estimated Migration (Persons in April)","1998","0 - 14 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","0 - 14 years","Male","Emigrants: All destinations","Thousand","0.4"
"Estimated Migration (Persons in April)","1998","0 - 14 years","Male","Immigrants: All origins","Thousand","3.4"
"Estimated Migration (Persons in April)","1998","0 - 14 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","0 - 14 years","Female","Emigrants: All destinations","Thousand","1.2"
"Estimated Migration (Persons in April)","1998","0 - 14 years","Female","Immigrants: All origins","Thousand","4.1"
"Estimated Migration (Persons in April)","1998","15 - 24 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","15 - 24 years","Both sexes","Emigrants: All destinations","Thousand","21.1"
"Estimated Migration (Persons in April)","1998","15 - 24 years","Both sexes","Immigrants: All origins","Thousand","12.4"
"Estimated Migration (Persons in April)","1998","15 - 24 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","15 - 24 years","Male","Emigrants: All destinations","Thousand","10.1"
"Estimated Migration (Persons in April)","1998","15 - 24 years","Male","Immigrants: All origins","Thousand","5.1"
"Estimated Migration (Persons in April)","1998","15 - 24 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","15 - 24 years","Female","Emigrants: All destinations","Thousand","10.9"
"Estimated Migration (Persons in April)","1998","15 - 24 years","Female","Immigrants: All origins","Thousand","7.3"
"Estimated Migration (Persons in April)","1998","25 - 44 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","25 - 44 years","Both sexes","Emigrants: All destinations","Thousand","5.8"
"Estimated Migration (Persons in April)","1998","25 - 44 years","Both sexes","Immigrants: All origins","Thousand","19.9"
"Estimated Migration (Persons in April)","1998","25 - 44 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","25 - 44 years","Male","Emigrants: All destinations","Thousand","3.2"
"Estimated Migration (Persons in April)","1998","25 - 44 years","Male","Immigrants: All origins","Thousand","11.1"
"Estimated Migration (Persons in April)","1998","25 - 44 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","25 - 44 years","Female","Emigrants: All destinations","Thousand","2.5"
"Estimated Migration (Persons in April)","1998","25 - 44 years","Female","Immigrants: All origins","Thousand","8.8"
"Estimated Migration (Persons in April)","1998","45 - 64 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","45 - 64 years","Both sexes","Emigrants: All destinations","Thousand","0.2"
"Estimated Migration (Persons in April)","1998","45 - 64 years","Both sexes","Immigrants: All origins","Thousand","4.3"
"Estimated Migration (Persons in April)","1998","45 - 64 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","45 - 64 years","Male","Emigrants: All destinations","Thousand","0.2"
"Estimated Migration (Persons in April)","1998","45 - 64 years","Male","Immigrants: All origins","Thousand","2.1"
"Estimated Migration (Persons in April)","1998","45 - 64 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","45 - 64 years","Female","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1998","45 - 64 years","Female","Immigrants: All origins","Thousand","2.2"
"Estimated Migration (Persons in April)","1998","65 years and over","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","65 years and over","Both sexes","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1998","65 years and over","Both sexes","Immigrants: All origins","Thousand","1.8"
"Estimated Migration (Persons in April)","1998","65 years and over","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","65 years and over","Male","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1998","65 years and over","Male","Immigrants: All origins","Thousand","0.9"
"Estimated Migration (Persons in April)","1998","65 years and over","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","65 years and over","Female","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1998","65 years and over","Female","Immigrants: All origins","Thousand","0.9"
"Estimated Migration (Persons in April)","1999","All ages","Both sexes","Net migration","Thousand","17.3"
"Estimated Migration (Persons in April)","1999","All ages","Both sexes","Emigrants: All destinations","Thousand","31.5"
"Estimated Migration (Persons in April)","1999","All ages","Both sexes","Immigrants: All origins","Thousand","48.9"
"Estimated Migration (Persons in April)","1999","All ages","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","All ages","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1999","All ages","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1999","All ages","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","All ages","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1999","All ages","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1999","0 - 14 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","0 - 14 years","Both sexes","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1999","0 - 14 years","Both sexes","Immigrants: All origins","Thousand","7"
"Estimated Migration (Persons in April)","1999","0 - 14 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","0 - 14 years","Male","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1999","0 - 14 years","Male","Immigrants: All origins","Thousand","3.6"
"Estimated Migration (Persons in April)","1999","0 - 14 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","0 - 14 years","Female","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1999","0 - 14 years","Female","Immigrants: All origins","Thousand","3.4"
"Estimated Migration (Persons in April)","1999","15 - 24 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","15 - 24 years","Both sexes","Emigrants: All destinations","Thousand","23.1"
"Estimated Migration (Persons in April)","1999","15 - 24 years","Both sexes","Immigrants: All origins","Thousand","15.3"
"Estimated Migration (Persons in April)","1999","15 - 24 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","15 - 24 years","Male","Emigrants: All destinations","Thousand","10.4"
"Estimated Migration (Persons in April)","1999","15 - 24 years","Male","Immigrants: All origins","Thousand","6.1"
"Estimated Migration (Persons in April)","1999","15 - 24 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","15 - 24 years","Female","Emigrants: All destinations","Thousand","12.7"
"Estimated Migration (Persons in April)","1999","15 - 24 years","Female","Immigrants: All origins","Thousand","9.2"
"Estimated Migration (Persons in April)","1999","25 - 44 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","25 - 44 years","Both sexes","Emigrants: All destinations","Thousand","7.6"
"Estimated Migration (Persons in April)","1999","25 - 44 years","Both sexes","Immigrants: All origins","Thousand","21.5"
"Estimated Migration (Persons in April)","1999","25 - 44 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","25 - 44 years","Male","Emigrants: All destinations","Thousand","4.6"
"Estimated Migration (Persons in April)","1999","25 - 44 years","Male","Immigrants: All origins","Thousand","11.7"
"Estimated Migration (Persons in April)","1999","25 - 44 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","25 - 44 years","Female","Emigrants: All destinations","Thousand","3"
"Estimated Migration (Persons in April)","1999","25 - 44 years","Female","Immigrants: All origins","Thousand","9.9"
"Estimated Migration (Persons in April)","1999","45 - 64 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","45 - 64 years","Both sexes","Emigrants: All destinations","Thousand","0.3"
"Estimated Migration (Persons in April)","1999","45 - 64 years","Both sexes","Immigrants: All origins","Thousand","4.1"
"Estimated Migration (Persons in April)","1999","45 - 64 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","45 - 64 years","Male","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","1999","45 - 64 years","Male","Immigrants: All origins","Thousand","2.5"
"Estimated Migration (Persons in April)","1999","45 - 64 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","45 - 64 years","Female","Emigrants: All destinations","Thousand","0.3"
"Estimated Migration (Persons in April)","1999","45 - 64 years","Female","Immigrants: All origins","Thousand","1.6"
"Estimated Migration (Persons in April)","1999","65 years and over","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","65 years and over","Both sexes","Emigrants: All destinations","Thousand","0.6"
"Estimated Migration (Persons in April)","1999","65 years and over","Both sexes","Immigrants: All origins","Thousand","0.9"
"Estimated Migration (Persons in April)","1999","65 years and over","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","65 years and over","Male","Emigrants: All destinations","Thousand","0.4"
"Estimated Migration (Persons in April)","1999","65 years and over","Male","Immigrants: All origins","Thousand","0.6"
"Estimated Migration (Persons in April)","1999","65 years and over","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","65 years and over","Female","Emigrants: All destinations","Thousand","0.1"
"Estimated Migration (Persons in April)","1999","65 years and over","Female","Immigrants: All origins","Thousand","0.3"
"Estimated Migration (Persons in April)","2000","All ages","Both sexes","Net migration","Thousand","26"
"Estimated Migration (Persons in April)","2000","All ages","Both sexes","Emigrants: All destinations","Thousand","26.6"
"Estimated Migration (Persons in April)","2000","All ages","Both sexes","Immigrants: All origins","Thousand","52.6"
"Estimated Migration (Persons in April)","2000","All ages","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","All ages","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2000","All ages","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2000","All ages","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","All ages","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2000","All ages","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2000","0 - 14 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","0 - 14 years","Both sexes","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","2000","0 - 14 years","Both sexes","Immigrants: All origins","Thousand","7.1"
"Estimated Migration (Persons in April)","2000","0 - 14 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","0 - 14 years","Male","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","2000","0 - 14 years","Male","Immigrants: All origins","Thousand","3.6"
"Estimated Migration (Persons in April)","2000","0 - 14 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","0 - 14 years","Female","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","2000","0 - 14 years","Female","Immigrants: All origins","Thousand","3.6"
"Estimated Migration (Persons in April)","2000","15 - 24 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","15 - 24 years","Both sexes","Emigrants: All destinations","Thousand","21.4"
"Estimated Migration (Persons in April)","2000","15 - 24 years","Both sexes","Immigrants: All origins","Thousand","16.8"
"Estimated Migration (Persons in April)","2000","15 - 24 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","15 - 24 years","Male","Emigrants: All destinations","Thousand","10.2"
"Estimated Migration (Persons in April)","2000","15 - 24 years","Male","Immigrants: All origins","Thousand","6.8"
"Estimated Migration (Persons in April)","2000","15 - 24 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","15 - 24 years","Female","Emigrants: All destinations","Thousand","11.2"
"Estimated Migration (Persons in April)","2000","15 - 24 years","Female","Immigrants: All origins","Thousand","10.1"
"Estimated Migration (Persons in April)","2000","25 - 44 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","25 - 44 years","Both sexes","Emigrants: All destinations","Thousand","4.6"
"Estimated Migration (Persons in April)","2000","25 - 44 years","Both sexes","Immigrants: All origins","Thousand","23.4"
"Estimated Migration (Persons in April)","2000","25 - 44 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","25 - 44 years","Male","Emigrants: All destinations","Thousand","2.6"
"Estimated Migration (Persons in April)","2000","25 - 44 years","Male","Immigrants: All origins","Thousand","12.7"
"Estimated Migration (Persons in April)","2000","25 - 44 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","25 - 44 years","Female","Emigrants: All destinations","Thousand","2"
"Estimated Migration (Persons in April)","2000","25 - 44 years","Female","Immigrants: All origins","Thousand","10.7"
"Estimated Migration (Persons in April)","2000","45 - 64 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","45 - 64 years","Both sexes","Emigrants: All destinations","Thousand","0.1"
"Estimated Migration (Persons in April)","2000","45 - 64 years","Both sexes","Immigrants: All origins","Thousand","4"
"Estimated Migration (Persons in April)","2000","45 - 64 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","45 - 64 years","Male","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","2000","45 - 64 years","Male","Immigrants: All origins","Thousand","2.6"
"Estimated Migration (Persons in April)","2000","45 - 64 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","45 - 64 years","Female","Emigrants: All destinations","Thousand","0.1"
"Estimated Migration (Persons in April)","2000","45 - 64 years","Female","Immigrants: All origins","Thousand","1.4"
"Estimated Migration (Persons in April)","2000","65 years and over","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","65 years and over","Both sexes","Emigrants: All destinations","Thousand","0.6"
"Estimated Migration (Persons in April)","2000","65 years and over","Both sexes","Immigrants: All origins","Thousand","1.2"
"Estimated Migration (Persons in April)","2000","65 years and over","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","65 years and over","Male","Emigrants: All destinations","Thousand","0.3"
"Estimated Migration (Persons in April)","2000","65 years and over","Male","Immigrants: All origins","Thousand","0.6"
"Estimated Migration (Persons in April)","2000","65 years and over","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","65 years and over","Female","Emigrants: All destinations","Thousand","0.3"
"Estimated Migration (Persons in April)","2000","65 years and over","Female","Immigrants: All origins","Thousand","0.6"
"Estimated Migration (Persons in April)","2001","All ages","Both sexes","Net migration","Thousand","32.8"
"Estimated Migration (Persons in April)","2001","All ages","Both sexes","Emigrants: All destinations","Thousand","26.2"
"Estimated Migration (Persons in April)","2001","All ages","Both sexes","Immigrants: All origins","Thousand","59"
"Estimated Migration (Persons in April)","2001","All ages","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2001","All ages","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2001","All ages","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2001","All ages","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2001","All ages","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2001","All ages","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2001","0 - 14 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2001","0 - 14 years","Both sexes","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","2001","0 - 14 years","Both sexes","Immigrants: All origins","Thousand","7.9"
"Estimated Migration (Persons in April)","2001","0 - 14 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2001","0 - 14 years","Male","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","2001","0 - 14 years","Male","Immigrants: All origins","Thousand","4.1"
"Estimated Migration (Persons in April)","2001","0 - 14 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2001","0 - 14 years","Female","Emigrants: All destinations","Thousand","0"
"Estimated Migration (Persons in April)","2001","0 - 14 years","Female","Immigrants: All origins","Thousand","3.8"
"Estimated Migration (Persons in April)","2001","15 - 24 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2001","15 - 24 years","Both sexes","Emigrants: All destinations","Thousand","21.2"
"Estimated Migration (Persons in April)","2001","15 - 24 years","Both sexes","Immigrants: All origins","Thousand","16.4"
"Estimated Migration (Persons in April)","2001","15 - 24 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2001","15 - 24 years","Male","Emigrants: All destinations","Thousand","9.9"
"Estimated Migration (Persons in April)","2001","15 - 24 years","Male","Immigrants: All origins","Thousand","6.6"
"Estimated Migration (Persons in April)","2001","15 - 24 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2001","15 - 24 years","Female","Emigrants: All destinations","Thousand","11.3"
"Estimated Migration (Persons in April)","2001","15 - 24 years","Female","Immigrants: All origins","Thousand","9.8"
"Estimated Migration (Persons in April)","2001","25 - 44 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2001","25 - 44 years","Both sexes","Emigrants: All destinations","Thousand","4.4"
"Estimated Migration (Persons in April)","2001","25 - 44 years","Both sexes","Immigrants: All origins","Thousand","29.5"
"Estimated Migration (Persons in April)","2001","25 - 44 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2001","25 - 44 years","Male","Emigrants: All destinations","Thousand","2.4"
